"범죄별(1)","범죄별(2)","시점",발생지역별(1),데이터
"A/Bⅹ100,000 (건/10만명)","소계","2014",충북,3511
"A/Bⅹ100,000 (건/10만명)","소계","2014",충남,3743
"A/Bⅹ100,000 (건/10만명)","소계","2014",전북,3350
"A/Bⅹ100,000 (건/10만명)","소계","2014",전남,3771
"A/Bⅹ100,000 (건/10만명)","소계","2014",경북,3536
"A/Bⅹ100,000 (건/10만명)","소계","2014",경남,3641
"A/Bⅹ100,000 (건/10만명)","소계","2014",제주,5307
"A/Bⅹ100,000 (건/10만명)","소계","2015",계,3922
"A/Bⅹ100,000 (건/10만명)","소계","2015",서울,3856
"A/Bⅹ100,000 (건/10만명)","소계","2015",부산,4453
"A/Bⅹ100,000 (건/10만명)","소계","2015",대구,4330
"A/Bⅹ100,000 (건/10만명)","소계","2015",인천,3767
"A/Bⅹ100,000 (건/10만명)","소계","2015",광주,4560
"A/Bⅹ100,000 (건/10만명)","소계","2015",대전,3437
"A/Bⅹ100,000 (건/10만명)","소계","2015",울산,2915
"A/Bⅹ100,000 (건/10만명)","소계","2015",세종,1848
"A/Bⅹ100,000 (건/10만명)","소계","2015",경기,3777
"A/Bⅹ100,000 (건/10만명)","소계","2015",강원,4081
"A/Bⅹ100,000 (건/10만명)","소계","2015",충북,3680
"A/Bⅹ100,000 (건/10만명)","소계","2015",충남,3947
"A/Bⅹ100,000 (건/10만명)","소계","2015",전북,3513
"A/Bⅹ100,000 (건/10만명)","소계","2015",전남,4174
"A/Bⅹ100,000 (건/10만명)","소계","2015",경북,3691
"A/Bⅹ100,000 (건/10만명)","소계","2015",경남,4308
"A/Bⅹ100,000 (건/10만명)","소계","2015",제주,5739
"A/Bⅹ100,000 (건/10만명)","소계","2016",계,3884.8
"A/Bⅹ100,000 (건/10만명)","소계","2016",서울,3753.3
"A/Bⅹ100,000 (건/10만명)","소계","2016",부산,4117.1
"A/Bⅹ100,000 (건/10만명)","소계","2016",대구,3771.8
"A/Bⅹ100,000 (건/10만명)","소계","2016",인천,3723.3
"A/Bⅹ100,000 (건/10만명)","소계","2016",광주,4107.8
"A/Bⅹ100,000 (건/10만명)","소계","2016",대전,3413.7
"A/Bⅹ100,000 (건/10만명)","소계","2016",울산,2526.6
"A/Bⅹ100,000 (건/10만명)","소계","2016",세종,1959.3
"A/Bⅹ100,000 (건/10만명)","소계","2016",경기,4113.3
"A/Bⅹ100,000 (건/10만명)","소계","2016",강원,4177.2
"A/Bⅹ100,000 (건/10만명)","소계","2016",충북,3880.2
"A/Bⅹ100,000 (건/10만명)","소계","2016",충남,3726.2
"A/Bⅹ100,000 (건/10만명)","소계","2016",전북,3346.5
"A/Bⅹ100,000 (건/10만명)","소계","2016",전남,3926.3
"A/Bⅹ100,000 (건/10만명)","소계","2016",경북,3562.8
"A/Bⅹ100,000 (건/10만명)","소계","2016",경남,4246.8
"A/Bⅹ100,000 (건/10만명)","소계","2016",제주,5829.5
"A/Bⅹ100,000 (건/10만명)","소계","2017",계,3524.4
"A/Bⅹ100,000 (건/10만명)","소계","2017",서울,3575.7
"A/Bⅹ100,000 (건/10만명)","소계","2017",부산,3750
"A/Bⅹ100,000 (건/10만명)","소계","2017",대구,3324.2
"A/Bⅹ100,000 (건/10만명)","소계","2017",인천,3443.3
"A/Bⅹ100,000 (건/10만명)","소계","2017",광주,3731.9
"A/Bⅹ100,000 (건/10만명)","소계","2017",대전,3352.2
"A/Bⅹ100,000 (건/10만명)","소계","2017",울산,2279.4
"A/Bⅹ100,000 (건/10만명)","소계","2017",세종,1793.3
"A/Bⅹ100,000 (건/10만명)","소계","2017",경기,3572.3
"A/Bⅹ100,000 (건/10만명)","소계","2017",강원,3799.7
"A/Bⅹ100,000 (건/10만명)","소계","2017",충북,3571.4
"A/Bⅹ100,000 (건/10만명)","소계","2017",충남,3485.1
"A/Bⅹ100,000 (건/10만명)","소계","2017",전북,3086.3
"A/Bⅹ100,000 (건/10만명)","소계","2017",전남,3407.4
"A/Bⅹ100,000 (건/10만명)","소계","2017",경북,3308.3
"A/Bⅹ100,000 (건/10만명)","소계","2017",경남,3765.6
"A/Bⅹ100,000 (건/10만명)","소계","2017",제주,5201.3
"A/Bⅹ100,000 (건/10만명)","소계","2018",계,3353.9
"A/Bⅹ100,000 (건/10만명)","소계","2018",서울,3494.8
"A/Bⅹ100,000 (건/10만명)","소계","2018",부산,3667.9
"A/Bⅹ100,000 (건/10만명)","소계","2018",대구,3228.9
"A/Bⅹ100,000 (건/10만명)","소계","2018",인천,3201.9
"A/Bⅹ100,000 (건/10만명)","소계","2018",광주,3510
"A/Bⅹ100,000 (건/10만명)","소계","2018",대전,3234
"A/Bⅹ100,000 (건/10만명)","소계","2018",울산,2191.3
"A/Bⅹ100,000 (건/10만명)","소계","2018",세종,1697.1
"A/Bⅹ100,000 (건/10만명)","소계","2018",경기,3287.8
"A/Bⅹ100,000 (건/10만명)","소계","2018",강원,3402
"A/Bⅹ100,000 (건/10만명)","소계","2018",충북,3355.3
